,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
,,,,,,,,,,,,,,,,,,Earn-out,,"125,000"
895.,1941644484,VITERRA USA INVESTMENT LLC,US,GAVILON AGRICULTURE INVESTMENT INC.,US,Acquisition 100%,Completed,"1,125,000.00",03.10.2022,100.00000,0.00000,100.00000,424510,551114,,,26.01.2022,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash assumed,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
896.,1941569405,QUALTRICS LLC,US,CLARABRIDGE INC.,US,Acquisition 100%,Completed,"1,125,000.00",01.10.2021,100.00000,0.00000,100.00000,511210,518210,,,29.07.2021,Shares,Unlisted,"1,125,000"
897.,1941189887,COVETRUS INC.,US,DIRECT VET MARKETING INC.,US,Acquisition 100%,Completed,"1,120,000.00",08.02.2019,100.00000,0.00000,100.00000,518210,541715,CVET,,23.04.2018,Cash,Unlisted,"1,100,000"
898.,1941552676,UNIFRAX I LLC,US,LYDALL INC.,US,Acquisition 100%,Completed,"1,118,980.00",08.10.2021,100.00000,0.00000,100.00000,333999,327120,,LDL,21.06.2021,Cash,Delisted,"1,118,980"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
899.,2007700566,CARDINAL HEALTH INC.,US,INTEGRATED ONCOLOGY NETWORK LLC,US,Acquisition 100%,Completed,"1,115,000.00",02.12.2024,100.00000,0.00000,100.00000,541611,424210,CAH,,20.09.2024,Cash,Unlisted,"1,115,000"
900.,1941459048,LIVE OAK ACQUISITION CORPORATION II,US,NAVITAS SEMICONDUCTOR IRELAND LLC,US,Acquisition 100%,Completed,"1,115,000.00",19.10.2021,100.00000,0.00000,100.00000,334413,525990,NVTS,,07.05.2021,Shares,Unlisted,"1,115,000"
,,,,,,,,,,,,,,,,,,Earn-out,,"165,000"
901.,2007508917,MIDFIRST BANK,US,"AMERANT BANK NA'S ASSETS AND LIABILITIES OF THE BANKING OPERATIONS AND SIX BRANCHES IN THE HOUSTON, TEXAS METROPOLITAN STATISTICAL AREA",US,Acquisition 100%,Completed,"1,105,000.00",08.11.2024,100.00000,0.00000,100.00000,522110,522110,,,17.04.2024,Cash assumed,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
902.,1941720075,MASTEC INC.,US,INFRASTRUCTURE & ENERGY ALTERNATIVES INC.,US,Acquisition 100%,Completed,"1,100,000.00",07.10.2022,100.00000,0.00000,100.00000,237990,237990,MTZ,IEA,25.07.2022,Liabilities,Delisted,"490,200"
,,,,,,,,,,,,,,,,,,Shares,,"9,800"
,,,,,,,,,,,,,,,,,,Cash,,"600,000"
903.,2008463968,ANTERO MIDSTREAM PARTNERS LP,US,HG ENERGY II MIDSTREAM HOLDINGS LLC,US,Acquisition 100%,Completed,"1,100,000.00",03.02.2026,100.00000,0.00000,100.00000,211120,486210,AM,,08.12.2025,Cash,Unlisted,"1,100,000"
904.,2007941068,ARES MANAGEMENT CORPORATION,US,MEADE PIPELINE COMPANY LLC,US,Acquisition 100%,Completed,"1,100,000.00",29.09.2025,100.00000,0.00000,100.00000,486210,523920,ARES,,29.09.2025,Cash,Unlisted,"1,100,000"
905.,2007844492,STRIPE INC.,US,BRIDGE VENTURES INC.,US,Acquisition 100%,Completed,"1,100,000.00",04.02.2025,100.00000,0.00000,100.00000,518210,518210,,,23.10.2024,,Unlisted,n.a.
906.,2007794079,BERKSHIRE HILLS BANCORP INC.,US,BROOKLINE BANCORP INC.,US,Acquisition 100%,Completed,"1,100,000.00",01.09.2025,100.00000,0.00000,100.00000,522110,522110,BBT,BRKL,16.12.2024,Shares,Delisted,"1,100,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
907.,2007777316,ACRISURE LLC,US,HEARTLAND PAYMENT SYSTEMS INC.,US,Acquisition 100%,Completed,"1,100,000.00",01.10.2025,100.00000,0.00000,100.00000,522320,524210,,HPY,28.05.2025,,Delisted,n.a.
908.,2007735162,STRIPE INC.,US,BRIDGE VENTURES INC.,US,Acquisition 100%,Completed,"1,100,000.00",21.10.2024,100.00000,0.00000,100.00000,518210,518210,,,21.10.2024,,Unlisted,n.a.
909.,2007632508,NORTHERN OIL AND GAS INC.,US,POINT ENERGY PARTNERS LLC'S US SHALE ASSETS,US,Acquisition 100%,Completed,"1,100,000.00",23.09.2024,100.00000,0.00000,100.00000,211120,211120,NOG,,28.07.2024,Cash,Unlisted,"1,100,000"
,,VITAL ENERGY INC.,US,,,,,,,,,,,211120,VTLE,,,,,
910.,2007430551,CBRE GROUP INC.,US,J&J WORLDWIDE SERVICES INC.,US,Acquisition 100%,Completed,"1,100,000.00",27.02.2024,100.00000,0.00000,100.00000,541330,531210,CBRE,,05.02.2024,Cash,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,"250,000"
911.,2007322436,HUBBELL INC.,US,NORTHERN STAR HOLDINGS LLC,US,Acquisition 100%,Completed,"1,100,000.00",12.12.2023,100.00000,0.00000,100.00000,335314,335313,HUBB,,30.10.2023,Cash,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,"600,000"
912.,1941743177,TALOS ENERGY INC.,US,ENVEN ENERGY CORPORATION,US,Acquisition 100%,Completed,"1,100,000.00",13.02.2023,100.00000,0.00000,100.00000,211120,211120,TALO,,22.09.2022,Shares,Unlisted,"837,500"
,,,,,,,,,,,,,,,,,,Liabilities,,"50,000"
,,,,,,,,,,,,,,,,,,Cash,,"212,500"
913.,1941633732,DARLING INGREDIENTS INC.,US,VALLEY PROTEINS INC.,US,Acquisition 100%,Completed,"1,100,000.00",02.05.2022,100.00000,0.00000,100.00000,562920,325998,DAR,,28.12.2021,Cash,Unlisted,"1,100,000"
914.,1941633400,UNITED SURGICAL PARTNERS INTERNATIONAL INC.,US,SURGCENTER DEVELOPMENT'S OWNERSHIP INTERESTS IN AMBULATORY SURGERY CENTRES AND RELATED AMBULATORY SUPPORT SERVICES,US,Acquisition 100%,Completed,"1,100,000.00",22.12.2021,100.00000,0.00000,100.00000,622110,621493,USPI,,08.11.2021,,Unlisted,n.a.
,,TENET HEALTHCARE CORPORATION,US,,,,,,,,,,,622110,THC,,,,,
915.,1941604996,RAYMOND JAMES FINANCIAL INC.,US,TRISTATE CAPITAL HOLDINGS INC.,US,Acquisition 100%,Completed,"1,100,000.00",01.06.2022,100.00000,0.00000,100.00000,522110,523110,RJF,TSC,20.10.2021,Cash,Delisted,"354,000"
,,,,,,,,,,,,,,,,,,Shares,,"746,000"
916.,1941577915,STEWARD HEALTH CARE SYSTEM LLC,US,CORAL GABLES HOSPITAL,US,Acquisition 100%,Completed,"1,100,000.00",02.08.2021,100.00000,0.00000,100.00000,622110,622110,,,16.06.2021,Cash assumed,Unlisted,n.a.
,,,,FLORIDA MEDICAL CENTER INC.,US,,,,,100.00000,0.00000,100.00000,622110,,,,,Cash,Unlisted,"1,100,000"
,,,,HIALEAH HOSPITAL,US,,,,,100.00000,0.00000,100.00000,622110,,,,,,Unlisted,
,,,,NORTH SHORE MEDICAL CENTER,US,,,,,100.00000,0.00000,100.00000,622110,,,,,,Unlisted,
,,,,PALMETTO GENERAL HOSPITAL,US,,,,,100.00000,0.00000,100.00000,622110,,,,,,Unlisted,
917.,1941571211,MARVELL TECHNOLOGY INC.,US,INNOVIUM INC.,US,Acquisition 100%,Completed,"1,100,000.00",05.10.2021,100.00000,0.00000,100.00000,541715,334413,MRVL,,03.08.2021,Cash assumed,Unlisted,"145,000"
,,,,,,,,,,,,,,,,,,Shares,,"1,100,000"
918.,1941493624,UBER TECHNOLOGIES INC.,US,"DRIZLY GROUP INC., THE",US,Acquisition 100%,Completed,"1,100,000.00",13.10.2021,100.00000,0.00000,100.00000,445310,511210,UBER,,02.02.2021,Shares,Unlisted,"990,000"
,,,,,,,,,,,,,,,,,,Cash,,"110,000"
919.,1941463055,ASPEN DENTAL MANAGEMENT INC.,US,CLEARCHOICE HOLDINGS LLC,US,Acquisition 100%,Completed,"1,100,000.00",30.12.2020,100.00000,0.00000,100.00000,621210,621210,,,16.11.2020,,Unlisted,n.a.
920.,1941320768,ELI LILLY AND COMPANY,US,DERMIRA INC.,US,Acquisition 100%,Completed,"1,100,000.00",20.02.2020,100.00000,0.00000,100.00000,541713,325412,LLY,DERM,10.01.2020,Cash,Delisted,"1,100,000"
921.,1941315520,CULLIGAN INTERNATIONAL COMPANY,US,AQUAVENTURE HOLDINGS LTD,US,Acquisition 100%,Completed,"1,100,000.00",30.03.2020,100.00000,0.00000,100.00000,237110,333318,,,23.12.2019,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
922.,1941313789,SANTANDER CONSUMER USA HOLDINGS INC.,US,GATEWAY ONE LENDING & FINANCE LLC'S INDIRECT AUTO LOAN PORTFOLIO,US,Acquisition 100%,Completed,"1,100,000.00",18.12.2019,100.00000,0.00000,100.00000,522220,522220,SC,,18.12.2019,,Unlisted,n.a.
923.,1941298659,UNITED BANKSHARES INC.,US,CAROLINA FINANCIAL CORPORATION,US,Acquisition 100%,Completed,"1,100,000.00",01.05.2020,100.00000,0.00000,100.00000,522110,522110,UBSI,CARO,18.11.2019,Shares,Delisted,"1,100,000"
924.,1941259097,SIEMENS MEDICAL SOLUTIONS USA INC.,US,CORINDUS VASCULAR ROBOTICS INC.,US,Acquisition 100%,Completed,"1,100,000.00",29.10.2019,100.00000,0.00000,100.00000,334510,334510,,CVRS,08.08.2019,Cash,Delisted,"1,100,000"
925.,1941445122,TORTOISE ACQUISITION CORPORATION,US,HYLIION INC.,US,Acquisition 100%,Completed,"1,097,000.00",01.10.2020,100.00000,0.00000,100.00000,336330,525990,HYLN,,19.06.2020,Cash,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,"1,000"
,,,,,,,,,,,,,,,,,,Cash assumed,,"520,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
926.,1941118087,SJW GROUP,US,CONNECTICUT WATER SERVICE INC.,US,Acquisition 100% Bid 2 - Increased,Completed,"1,095,000.00",09.10.2019,100.00000,0.00000,100.00000,221310,221310,HTO,CTWS,20.02.2019,Liabilities,Delisted,"257,000"
,,,,,,,,,,,,,,,,,,Cash,,"838,000"
927.,1941256738,ADVANCED DRAINAGE SYSTEMS INC.,US,INFILTRATOR WATER TECHNOLOGIES LLC,US,Acquisition 100%,Completed,"1,080,000.00",01.08.2019,100.00000,0.00000,100.00000,326199,326122,WMS,,01.08.2019,,Unlisted,n.a.
928.,1941518721,ARES HOLDINGS LP,US,LANDMARK PARTNERS INC.,US,Acquisition 100%,Completed,"1,080,000.00",02.06.2021,100.00000,0.00000,100.00000,523910,551112,,,31.03.2021,Shares,Unlisted,"293,000"
,,,,,,,,,,,,,,,,,,Cash,,"787,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
929.,2007765884,CRESCENT ENERGY FINANCE LLC,US,RIDGEMAR EAGLE FORD LLC,US,Acquisition 100%,Completed,"1,075,000.00",31.01.2025,100.00000,0.00000,100.00000,211120,211120,,,03.12.2024,Cash,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,n.a.
,,,,,,,,,,,,,,,,,,Shares,,n.a.
930.,2007141581,AMPHASTAR MEDICATION COMPANY LLC,US,ELI LILLY AND COMPANY'S BAQSIMI BUSINESS UNIT,US,Acquisition 100,Completed,"1,075,000.00",30.06.2023,100.00000,0.00000,100.00000,325412,325412,,,24.04.2023,Cash,Unlisted,"1,075,000"
,,,,ELI LILLY AND COMPANY'S BAQSIMI CERTAIN ASSETS,US,,,,,100.00000,0.00000,100.00000,325412,,,,,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Deferred payment,,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,"450,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
931.,2007061143,HR NEVADA LLC,US,"MIRAGE CASINO-HOTEL LLC, THE",US,Acquisition 100%,Completed,"1,075,000.00",19.12.2022,100.00000,0.00000,100.00000,721120,722511,,,13.12.2021,Cash,Unlisted,"1,075,000"
932.,1941616666,HARD ROCK INTERNATIONAL INC.,US,MGM RESORTS INTERNATIONAL'S THE MIRAGE OPERATION IN LAS VEGAS,US,Acquisition 100%,Completed,"1,075,000.00",19.12.2022,100.00000,0.00000,100.00000,721120,722511,,,13.12.2021,Cash,Unlisted,"1,075,000"
933.,1941547196,BONANZA CREEK ENERGY INC.,US,CPPIB CRESTONE PEAK RESOURCES AMERICA INC.,US,Acquisition 100%,Completed,"1,073,700.00",01.11.2021,100.00000,0.00000,100.00000,211120,211120,CIVI,,07.06.2021,Shares,Unlisted,"1,073,700"
934.,1941272817,MOSAIC ACQUISITION CORPORATION,US,VIVINT SMART HOME INC.,US,Acquisition 100%,Completed,"1,071,225.00",17.01.2020,100.00000,0.00000,100.00000,561621,525990,VVNT,,16.09.2019,Earn-out,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
935.,2007211922,REVOLUTION MEDICINES INC.,US,EQRX INC.,US,Acquisition 100%,Completed,"1,070,000.00",11.09.2023,100.00000,0.00000,100.00000,325412,541713,RVMD,CMLT,01.08.2023,Shares,Delisted,"1,070,000"
936.,2007506441,VICTORY CAPITAL HOLDINGS INC.,US,AMUNDI US INC.,US,Acquisition 100%,Completed,"1,068,320.00",01.04.2025,100.00000,0.00000,100.00000,523920,523920,VCTR,,09.07.2024,Shares,Unlisted,"1,068,320"
937.,1941425348,STARBOARD VALUE ACQUISITION CORPORATION,US,MUNDO HOLDINGS INC.,US,Acquisition 100%,Completed,"1,061,000.00",29.07.2021,100.00000,0.00000,100.00000,518210,525990,CYXT,,22.02.2021,Shares,Unlisted,"1,061,000"
938.,2007624284,SOFIDEL AMERICA CORPORATION,US,CLEARWATER PAPER TISSUE LLC,US,Acquisition 100%,Completed,"1,060,000.00",01.11.2024,100.00000,0.00000,100.00000,322121,322121,,,22.07.2024,,Unlisted,n.a.
939.,2007932014,STONEX GROUP INC.,US,RTS INVESTOR CORPORATION,US,Acquisition 100%,Completed,"1,058,420.00",31.07.2025,100.00000,0.00000,100.00000,523140,523930,SNEX,,14.04.2025,Liabilities,Unlisted,"143,000"
,,,,,,,,,,,,,,,,,,Shares,,"301,767"
,,,,,,,,,,,,,,,,,,Cash,,"610,566"
940.,2007078702,MBO TEAM,,FRANCHISE GROUP INC.,US,Acquisition increased from 36% to 100%,Completed,"1,055,179.00",21.08.2023,64.00000,36.00000,100.00000,541213,525920,,FRGA,10.05.2023,Liabilities,Delisted,n.a.
,,VINTAGE CAPITAL MANAGEMENT LLC,US,,,,,,,,,,,523910,,,,Cash,,"1,055,179"
,,UNDISCLOSED ACQUIROR,US,,,,,,,,,,,551114,,,,,,
,,B RILEY FINANCIAL INC.,US,,,,,,,,,,,523930,RILY,,,,,
,,IRRADIANT PARTNERS LP,US,,,,,,,,,,,523910,,,,,,
,,MR BRIAN KAHN,,,,,,,,,,,,525920,,,,,,
941.,1941599093,APPLOVIN CORPORATION,US,MOPUB INC.,US,Acquisition 100%,Completed,"1,050,000.00",03.01.2022,100.00000,0.00000,100.00000,518210,518210,APP,,06.10.2021,Cash,Unlisted,"1,050,000"
942.,2007856126,LNW GAMING INC.,US,GROVER GAMING INC.'S CHARITABLE GAMING ASSETS,US,Acquisition 100%,Completed,"1,050,000.00",19.05.2025,100.00000,0.00000,100.00000,511210,713290,,,18.02.2025,Earn-out,Unlisted,"200,000"
,,,,G2 GAMING INC.'S CHARITABLE GAMING ASSETS,US,,,,,100.00000,0.00000,100.00000,713290,,,,,Cash,Unlisted,"1,050,000"
943.,2007042134,LENDINGCLUB BANK NATIONAL ASSOCIATION,US,MUFG UNION BANK NA'S PERSONAL LOAN PORTFOLIO,US,Acquisition 100%,Completed,"1,050,000.00",31.12.2022,100.00000,0.00000,100.00000,522110,522291,,,02.12.2022,,Unlisted,n.a.
944.,1941521748,HYBE AMERICA INC.,US,ITHACA HOLDINGS LLC,US,Acquisition 100%,Completed,"1,050,000.00",02.04.2021,100.00000,0.00000,100.00000,512230,711410,,,02.04.2021,,Unlisted,n.a.
945.,1941190265,AEP CLEAN ENERGY RESOURCES LLC,US,SEMPRA RENEWABLES LLC,US,Acquisition 100%,Completed,"1,050,000.00",22.04.2019,100.00000,0.00000,100.00000,221115,221118,,,12.02.2019,Liabilities,Unlisted,"470,000"
,,,,,,,,,,,,,,,,,,Cash,,"584,000"
946.,2007513190,TARGA RESOURCES CORPORATION,US,TARGA RESOURCES CORPORATION'S GRAND PRIX NGL PIPELINE,US,Acquisition increased from 75% to 100%,Completed,"1,050,000.00",09.01.2023,25.00000,75.00000,100.00000,211120,211120,,,03.01.2023,Cash,Unlisted,"1,050,000"
947.,2007076286,TARGA RESOURCES INC.,US,GRAND PRIX NGL PIPELINE IN THE PERMAIN BASIN,US,Acquisition increased from 75% to 100%,Completed,"1,050,000.00",09.01.2023,25.00000,75.00000,100.00000,486210,211120,,,04.01.2023,Cash,Unlisted,"1,050,000"
948.,1941462300,RODGERS SILICON VALLEY ACQUISITION CORPORATION,US,ENOVIX CORPORATION (OLD),US,Acquisition 100%,Completed,"1,050,000.00",14.07.2021,100.00000,0.00000,100.00000,335912,525990,ENVX,ENVX,22.02.2021,Shares,Listed,"1,050,000"
949.,2007492981,ARCA BIOPHARMA INC.,US,ORUKA THERAPEUTICS INC.,US,Acquisition 100%,Completed,"1,040,884.00",29.08.2024,100.00000,0.00000,100.00000,541713,541713,ORKA,ORKA,03.04.2024,Shares,Listed,"1,040,884"
950.,1941480480,DENTSPLY SIRONA INC.,US,STRAIGHT SMILE LLC,US,Acquisition 100%,Completed,"1,040,000.00",31.12.2020,100.00000,0.00000,100.00000,339114,339114,XRAY,,31.12.2020,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"1,040,000"
951.,1941474978,ELI LILLY AND COMPANY,US,PREVAIL THERAPEUTICS INC.,US,Acquisition 100%,Completed,"1,040,000.00",22.01.2021,100.00000,0.00000,100.00000,541713,325412,LLY,PRVL,15.12.2020,Cash,Delisted,"880,000"
,,,,,,,,,,,,,,,,,,Bonds,,"160,000"
,,,,,,,,,,,,,,,,,,Earn-out,,"160,000"
952.,1939073872,CALLON PETROLEUM COMPANY,US,CARRIZO OIL & GAS INC.,US,Acquisition 100% bid decreased,Completed,"1,037,236.00",20.12.2019,100.00000,0.00000,100.00000,211120,211120,CPE,CRZO,14.11.2019,Shares,Delisted,"1,037,236"
953.,1941085082,INDEPENDENT BANK GROUP INC.,US,GUARANTY BANCORP,US,Acquisition 100%,Completed,"1,036,351.00",01.01.2019,100.00000,0.00000,100.00000,522110,522110,IBTX,GBNK,22.05.2018,Shares,Delisted,"1,036,351"
954.,1941205115,EQM MIDSTREAM PARTNERS LP,US,EUREKA MIDSTREAM HOLDINGS LLC,US,Acquisition 60% and 100%,Completed,"1,030,000.00",10.04.2019,60.00000,0.00000,60.00000,211120,211120,EQM,,14.03.2019,Liabilities,Unlisted,"170,000"
,,,,HORNET MIDSTREAM HOLDINGS LLC,US,,,,,100.00000,0.00000,100.00000,211120,,,,,Cash,Unlisted,"860,000"
955.,1941445123,GLOBE MERGER SUB II INC.,US,EIDOS THERAPEUTICS INC.,US,Acquisition increased from 63.7% to 100%,Completed,"1,025,733.00",26.01.2021,36.30000,63.70000,100.00000,541713,541713,,EIDX,05.10.2020,Cash,Delisted,"175,000"
,,,,,,,,,,,,,,,,,,Shares,,"850,733"
956.,2007593379,RXO INC.,US,COYOTE LOGISTICS LLC,US,Acquisition 100%,Completed,"1,025,000.00",16.09.2024,100.00000,0.00000,100.00000,488510,488510,RXO,,23.06.2024,Cash,Unlisted,"1,025,000"
957.,1941654511,MASIMO CORPORATION,US,VIPER HOLDINGS CORPORATION,US,Acquisition 100%,Completed,"1,025,000.00",11.04.2022,100.00000,0.00000,100.00000,334310,541715,MASI,,15.02.2022,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"1,025,000"
958.,2007206178,BANC OF CALIFORNIA INC.,US,PACWEST BANCORP,US,Acquisition 100%,Completed,"1,019,600.00",01.12.2023,100.00000,0.00000,100.00000,522110,522110,BANC,PACW,25.07.2023,Shares,Delisted,"1,019,600"
959.,2007349323,ONEMAIN HOLDINGS INC.,US,FOURSIGHT CAPITAL LLC,US,Acquisition 100% 100%,Completed,"1,015,000.00",01.04.2024,100.00000,0.00000,100.00000,522220,522292,OMF,,21.11.2023,Liabilities,Unlisted,"900,000"
,,,,FOURSIGHT CAPITAL LLC'S LOAN PORTFOLIO,,,,,,100.00000,0.00000,100.00000,522220,,,,,Cash,Unlisted,n.a.
960.,2007834509,LANTHEUS MEDICAL IMAGING INC.,US,EVERGREEN THERAGNOSTICS INC.,US,Acquisition 100%,Completed,"1,002,500.00",01.04.2025,100.00000,0.00000,100.00000,325411,325412,,,28.01.2025,Cash,Unlisted,"1,002,500"
,,,,,,,,,,,,,,,,,,Earn-out,,"752,500"
961.,1941586019,TOPBUILD CORPORATION,US,DI SUPER HOLDINGS INC.,US,Acquisition 100%,Completed,"1,001,000.00",15.10.2021,100.00000,0.00000,100.00000,326140,238310,BLD,,08.09.2021,Cash,Unlisted,"1,001,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
962.,2008292846,TOPBUILD CORPORATION,US,SPI LLC,US,Acquisition 100%,Completed,"1,000,000.00",07.10.2025,100.00000,0.00000,100.00000,326140,238310,BLD,,07.10.2025,Cash,Unlisted,"1,000,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
963.,2008262588,ADVANCED DRAINAGE SYSTEMS INC.,US,NATIONAL DIVERSIFIED SALES INC.,US,Acquisition 100%,Completed,"1,000,000.00",02.02.2026,100.00000,0.00000,100.00000,333999,326122,WMS,,23.09.2025,Cash,Unlisted,"1,000,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
964.,2008210992,HARVEST MIDSTREAM COMPANY,US,MPLX LP'S NATURAL GAS GATHERING AND PROCESSING ASSETS,US,Acquisition 100%,Completed,"1,000,000.00",13.11.2025,100.00000,0.00000,100.00000,211120,211120,,,27.08.2025,,Unlisted,n.a.
965.,2008195698,AMPHENOL CORPORATION,US,TPC ENGINEERING HOLDINGS INC.,US,Acquisition 100%,Completed,"1,000,000.00",06.11.2025,100.00000,0.00000,100.00000,423610,334417,APH,,18.08.2025,Cash,Unlisted,"1,000,000"
966.,2007940875,NOVAGOLD RESOURCES INC.,CA,DONLIN GOLD LLC,US,Acquisition increased from 50% to 100%,Completed,"1,000,000.00",03.06.2025,50.00000,50.00000,100.00000,212221,213114,NG,,22.04.2025,Cash,Unlisted,"1,000,000"
,,PAULSON ADVISERS LLC,US,,,,,,,,,,,523920,,,,,,
967.,2007918578,ELF COSMETICS INC.,US,HRBEAUTY LLC,US,Acquisition 100%,Completed,"1,000,000.00",31.03.2026,100.00000,0.00000,100.00000,446120,446120,,,28.05.2025,Shares,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,"200,000"
968.,2007717413,BLUE OWL CAPITAL GP LLC,US,IPI PARTNERS LLC'S ASSETS,US,Acquisition 100%,Completed,"1,000,000.00",06.01.2025,100.00000,0.00000,100.00000,523920,523920,,,07.10.2024,Shares,Unlisted,n.a.
,,BLUE OWL CAPITAL HOLDINGS LP,US,,,,,,,,,,,523920,,,,Cash,,"203,800"
,,BLUE OWL CAPITAL CARRY LP,US,,,,,,,,,,,523920,,,,Earn-out,,n.a.
969.,2007677997,26NORTH PARTNERS LP,US,ARCHKEY SOLUTIONS LLC,US,Acquisition unknown majority stake %,Completed,"1,000,000.00",04.11.2024,Unknown majority,0.00000,Unknown majority,238210,523920,,,03.09.2024,Liabilities,Unlisted,n.a.
970.,2007626466,IDEX CORPORATION,US,MOTT CORPORATION,US,Acquisition 100%,Completed,"1,000,000.00",05.09.2024,100.00000,0.00000,100.00000,541330,334516,IEX,,23.07.2024,Bonds,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"1,000,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
971.,2007598311,HILCORP ENERGY COMPANY,US,ENI SPA'S NIKAITCHUQ AND OOOGURUK UPSTREAM OFFSHORE ASSETS IN ALASKA,US,Acquisition 100%,Completed,"1,000,000.00",04.11.2024,100.00000,0.00000,100.00000,211120,211120,,,27.06.2024,,Unlisted,n.a.
972.,2007490560,BLUE OWL CAPITAL HOLDINGS LLC,US,KUVARE INSURANCE SERVICES LP,US,Acquisition 100%,Completed,"1,000,000.00",02.07.2024,100.00000,0.00000,100.00000,523910,523920,,,03.04.2024,Earn-out,Unlisted,"250,000"
,,BLUE OWL CAPITAL GP LLC,US,,,,,,,,,,,523920,,,,Cash,,"575,000"
,,,,,,,,,,,,,,,,,,Shares,,"425,000"
973.,2007392696,PERIAMA HOLDINGS LLC,US,JSW STEEL USA INC.,US,Acquisition increased from 90% to 100%,Completed,"1,000,000.00",18.12.2023,10.00000,90.00000,100.00000,331110,211120,,,20.10.2023,Cash,Unlisted,"1,000,000"
974.,2007290008,AMAZON HOLDCO INC.,US,JACOBS SOLUTIONS INC.'S CRITICAL MISSION SOLUTIONS AND CYBER & INTELLIGENCE GOVERNMENT SERVICES BUSINESSES,US,Acquisition 100%,Completed,"1,000,000.00",27.09.2024,100.00000,0.00000,100.00000,541611,551112,,,20.11.2023,Shares,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
975.,2007270530,ALEXION PHARMACEUTICALS INC.,US,PFIZER INC.'S PRECLINICAL GENE THERAPY PROGRAMMES AND ENABLING TECHNOLOGIES PORTFOLIO,US,Acquisition 100%,Completed,"1,000,000.00",20.09.2023,100.00000,0.00000,100.00000,325412,541713,ALXN,,28.07.2023,,Unlisted,n.a.
976.,2007244615,REVEAL DATA CORPORATION,US,LOGIK SYSTEMS INC.,US,Acquisition 100%,Completed,"1,000,000.00",29.08.2023,100.00000,0.00000,100.00000,518210,518210,,,29.08.2023,,Unlisted,n.a.
,,,,IPRO TECH LLC,US,,,,,100.00000,0.00000,100.00000,511210,,,,,,Unlisted,
977.,2007179642,CARRIX INC.,US,CERES TERMINALS INC.,US,Acquisition 100%,Completed,"1,000,000.00",22.06.2023,100.00000,0.00000,100.00000,483111,488320,,,22.06.2023,,Unlisted,n.a.
978.,1941665710,GOOGLE LLC,US,RAXIUM INC.,US,Acquisition 100%,Completed,"1,000,000.00",21.03.2022,100.00000,0.00000,100.00000,334419,519130,GOOGL,,16.03.2022,,Unlisted,n.a.
979.,1941640926,MARS INC.,US,NOMNOMNOW INC.,US,Acquisition 100%,Completed,"1,000,000.00",28.01.2022,100.00000,0.00000,100.00000,311111,311351,,,14.01.2022,,Unlisted,n.a.
980.,1941582305,CATALENT PHARMA SOLUTIONS INC.,US,BETTERA HOLDINGS LLC,US,Acquisition 100%,Completed,"1,000,000.00",31.12.2021,100.00000,0.00000,100.00000,311340,541713,,,30.08.2021,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"1,000,000"
